326725,T9290001021867,1,0,2.0,1.0,1,2023-10-01,2021-12-03,,,福岡県那珂川市道善５丁目４７番地,40.0,231.0,,,,,株式会社渡辺土木,,,,,
326726,T9290001021891,1,0,2.0,1.0,1,2023-10-01,2023-02-15,,,福岡県福岡市中央区天神２丁目１４番８号,40.0,133.0,,,,,株式会社富士エコ研究開発,,,,,
326727,T9290001021900,1,0,2.0,1.0,1,2023-10-01,2023-03-09,,,福岡県大野城市御笠川２丁目４番１７号,40.0,219.0,,,,,ジェイビーエッチ・インターナショナル株式会社,,,,,
326728,T9290001021933,1,0,2.0,1.0,1,2023-10-01,2022-06-08,,,福岡県福岡市早良区重留６丁目１番１３号,40.0,137.0,,,,,アイパックス日野出株式会社,,,,,
326729,T9290001021966,1,0,2.0,1.0,1,2023-10-01,2022-11-28,,,福岡県福岡市南区大楠１丁目３番２９号,40.0,134.0,,,,,株式会社流通企画イスク,,,,,
326730,T9290001021999,1,0,2.0,1.0,1,2023-10-01,2022-08-26,,,福岡県福岡市南区中尾３丁目４８番３－１０３号,40.0,134.0,,,,,株式会社浮羽技研,,,,,
326731,T9290001022015,1,0,2.0,1.0,1,2023-10-01,2022-11-10,,,福岡県福岡市南区大楠１丁目３５番８号,40.0,134.0,,,,,株式会社食拓,,,,,
326732,T9290001022048,1,0,2.0,1.0,1,2023-10-01,2022-05-17,,,福岡県福岡市博多区博多駅南３丁目２番３号フェリックス博多ビル７階,40.0,132.0,,,,,株式会社ソルネット経営,,,,,
326733,T9290001022072,1,0,2.0,1.0,1,2023-10-01,2022-10-12,,,福岡県福岡市博多区榎田２丁目１０番２８号,40.0,132.0,,,,,エムオーエルロジスティクス九州株式会社,,,,,
326734,T9290001022106,1,0,2.0,1.0,1,2023-10-01,2022-06-07,,,福岡県福岡市西区小戸５丁目４番１３号,40.0,135.0,,,,,トータルハウス工業株式会社,,,,,
326735,T9290001022122,1,0,2.0,1.0,1,2023-10-01,2022-08-26,,,福岡県福岡市南区皿山１丁目１番６号,40.0,134.0,,,,,株式会社ケアフレンズ,,,,,
326736,T9290001022155,1,0,2.0,1.0,1,2023-10-01,2022-11-17,,,福岡県福岡市城南区東油山４丁目１９番２１号,40.0,136.0,,,,,株式会社メディアサポート,,,,,
326737,T9290001022295,1,0,2.0,1.0,1,2023-10-01,2022-07-28,,,福岡県福岡市博多区那珂５丁目１１番５号,40.0,132.0,,,,,株式会社石橋精鋼,,,,,
326738,T9290001022337,1,0,2.0,1.0,1,2023-10-01,2022-08-26,,,福岡県福岡市博多区博多駅前３丁目２５番２４号,40.0,132.0,,,,,株式会社コスモウェーブ,,,,,
326739,T9290001022345,1,0,2.0,1.0,1,2023-10-01,2022-10-06,,,福岡県福岡市博多区那珂４丁目２６番２８号,40.0,132.0,,,,,佐藤株式会社,,,,,
326740,T9290001022378,1,0,2.0,1.0,1,2023-10-01,2022-02-17,,,福岡県福岡市博多区東光寺町１丁目２番３３号,40.0,132.0,,,,,株式会社福砂屋,,,,,
326741,T9290001022444,1,0,2.0,1.0,1,2023-10-01,2022-04-26,,,福岡県福岡市博多区博多駅前２丁目１番１号,40.0,132.0,,,,,株式会社ワールドミクニ,,,,,
326742,T9290001022510,1,0,2.0,1.0,1,2023-10-01,2022-09-16,,,福岡県福岡市中央区小笹３丁目７番６号,40.0,133.0,,,,,株式会社光栄,,,,,
326743,T9290001022519,1,0,2.0,1.0,1,2023-10-01,2022-11-11,,,福岡県福岡市博多区博多駅東１丁目１２番７号９階,40.0,132.0,,,,,株式会社クリアー,,,,,
326744,T9290001022551,1,0,2.0,1.0,1,2023-10-01,2022-11-11,,,福岡県福岡市博多区吉塚４丁目１０番４６号,40.0,132.0,,,,,株式会社オフィスプロフィットインターナショナル,,,,,
326745,T9290001022601,1,0,2.0,1.0,1,2023-10-01,2022-11-02,,,福岡県福岡市中央区高砂１丁目９番３号,40.0,133.0,,,,,株式会社プロテック,,,,,
326746,T9290001022650,1,0,2.0,1.0,1,2023-10-01,2022-06-01,,,福岡県福岡市博多区三筑１丁目６番１０号,40.0,132.0,,,,,株式会社フクヒロ,,,,,
326747,T9290001022667,1,0,2.0,1.0,1,2023-10-01,2023-02-09,,,福岡県福岡市東区三苫６丁目１９番３６号,40.0,131.0,,,,,株式会社ライフコネクト,,,,,
326748,T9290001022691,1,0,2.0,1.0,1,2023-10-01,2023-02-15,,,福岡県福岡市博多区中洲５丁目６番２４号,40.0,132.0,,,,,株式会社ネオ倶楽部,,,,,
326749,T9290001022700,1,0,2.0,1.0,1,2023-10-01,2022-12-26,,,福岡県福岡市南区五十川２丁目１３番７号,40.0,134.0,,,,,株式会社フジサービス,,,,,
326750,T9290001022741,1,0,2.0,1.0,1,2023-10-01,2022-01-04,,,福岡県福岡市博多区博多駅前３丁目２８番３号,40.0,132.0,,,,,ピンクスインターナショナル株式会社,,,,,
326751,T9290001022774,1,0,2.0,1.0,1,2023-10-01,2022-12-12,,,福岡県福岡市博多区須崎町７番４－６号,40.0,132.0,,,,,株式会社ミスターフローリング,,,,,
326752,T9290001022824,1,0,2.0,1.0,1,2023-10-01,2023-03-01,,,福岡県福岡市東区筥松新町３番地３,40.0,131.0,,,,,メディカル・ケア・サービス九州株式会社,,,,,
326753,T9290001022948,1,0,2.0,1.0,1,2023-10-01,2022-09-02,,,福岡県福岡市博多区浦田１丁目５番４７号,40.0,132.0,,,,,株式会社ｅパワー,,,,,
326754,T9290001022956,1,0,2.0,1.0,1,2023-10-01,2022-05-23,,,福岡県福岡市博多区博多駅東２丁目８－９ソフィアビル３０４,40.0,132.0,,,,,株式会社Ｗｉｎｄｙ,,,,,
326755,T9290001022964,1,0,2.0,1.0,1,2023-10-01,2021-11-01,,,福岡県福岡市南区那の川１丁目６番２２号,40.0,134.0,,,,,株式会社三和エス・ピー,,,,,
326756,T9290001023145,1,0,2.0,1.0,1,2023-10-01,2023-03-14,,,福岡県福岡市博多区沖浜町１２番１号,40.0,132.0,,,,,ハナフーズ株式会社,,,,,
326757,T9290001023186,1,0,2.0,1.0,1,2023-10-01,2022-07-12,,,福岡県福岡市中央区那の津５丁目３番１１号,40.0,133.0,,,,,株式会社エイムズ,,,,,
326758,T9290001023203,1,0,2.0,1.0,1,2023-10-01,2022-08-10,,,福岡県福岡市東区多の津１丁目２０番１８号,40.0,131.0,,,,,株式会社九州日新,,,,,
326759,T9290001023211,1,0,2.0,1.0,1,2023-10-01,2021-12-10,,,福岡県福岡市博多区竹丘町２丁目１番８号,40.0,132.0,,,,,株式会社ブロード・コミュニケーションズ,,,,,
326760,T9290001023236,1,0,2.0,1.0,1,2023-10-01,2023-03-29,,,福岡県福岡市博多区博多駅東３丁目１３番２１号,40.0,132.0,,,,,キミヱコーポレーション株式会社,,,,,
326761,T9290001023293,1,0,2.0,1.0,1,2023-10-01,2021-11-01,,,福岡県福岡市博多区上呉服町１０番１号,40.0,132.0,,,,,エア・ウォーター・マテリアル株式会社,,,,,
326762,T9290001023327,1,0,2.0,1.0,1,2023-10-01,2022-12-08,,,福岡県福岡市中央区高砂１丁目１１番１号,40.0,133.0,,,,,株式会社サカイ商工,,,,,
326763,T9290001023335,1,0,2.0,1.0,1,2023-10-01,2023-01-10,,,福岡県福岡市中央区大名１丁目１５番３３号,40.0,133.0,,,,,エルスタイル株式会社,,,,,
326764,T9290001023343,1,0,2.0,1.0,1,2023-10-01,2022-08-30,,,福岡県福岡市中央区舞鶴３丁目２番１号－６階,40.0,133.0,,,,,スターツ九州株式会社,,,,,
326765,T9290001023376,1,0,2.0,1.0,1,2023-10-01,2022-02-24,,,福岡県糟屋郡志免町別府北１丁目１７番１７号,40.0,343.0,,,,,株式会社かおる,,,,,
326766,T9290001023384,1,0,2.0,1.0,1,2023-10-01,2022-05-02,,,福岡県福岡市中央区大名２丁目１０番４号Ｄ７１１,40.0,133.0,,,,,株式会社マネジメントリサーチ,,,,,
326767,T9290001023426,1,0,2.0,1.0,1,2023-10-01,2022-09-26,,,福岡県福岡市中央区天神４丁目１番１７号,40.0,133.0,,,,,アクアネット株式会社,,,,,
326768,T9290001023434,1,0,2.0,1.0,1,2023-10-01,2022-11-11,,,福岡県福岡市博多区築港本町１３番６号ベイサイドプレイス博多,40.0,132.0,,,,,株式会社お花の太陽,,,,,
326769,T9290001023442,1,0,2.0,1.0,1,2023-10-01,2022-05-23,,,福岡県福岡市博多区博多駅前３丁目２番８号,40.0,132.0,,,,,ミサワリフォーム九州株式会社,,,,,
